prec Recall f1 prec Recall f1 lambda
prec Recall f1: 0.995607090403 0.901360028111 0.946142319743 0.0
prec Recall f1: 0.995826911782 0.900453608906 0.945741863376 0.003
prec Recall f1: 0.995213351535 0.90243814787 0.946557883759 0.01 
prec Recall f1: 0.991914775944 0.902350301075 0.945015148696 0.05
prec Recall f1: 0.938727110759 0.946744876935 0.942718946504 0.1
prec Recall f1: 0.929348816471 0.957102812695 0.943021652362 0.3
prec Recall f1: 0.805185368567 1.0 0.892080539303 1
prec Recall f1: 0.805185368567 1.0 0.892080539303 2
